0,0.25293,0.434744,0.74707,0.434744,0,0,0,0,0,0
7.84006e-09,0.251344,0.432019,0.741682,0.431609,0.0015859,0.002845,0.00538797,0.00324367,0,0
1.56801e-08,0.254752,0.432856,0.731212,0.431316,0.00257235,0.00556464,0.0107309,0.00791797,0.000732422,0.0270567
2.35202e-08,0.257722,0.434311,0.724774,0.432484,0.00277644,0.00689617,0.0127746,0.0114759,0.00195312,0.0441564
3.13603e-08,0.263508,0.437417,0.716666,0.436056,0.00284966,0.00753277,0.0133145,0.0134212,0.00366211,0.0604118
3.92003e-08,0.271021,0.441339,0.707874,0.440341,0.00290507,0.00779176,0.0133178,0.0142981,0.00488281,0.0697148
4.70404e-08,0.278723,0.445132,0.69903,0.444628,0.00301539,0.00800178,0.0131283,0.0146542,0.00610352,0.0778957
5.48804e-08,0.287234,0.449227,0.689805,0.448969,0.0030491,0.00804961,0.012832,0.014726,0.00708008,0.083855
6.27205e-08,0.296678,0.453497,0.679891,0.453396,0.00312643,0.00809118,0.0124921,0.0146408,0.0078125,0.0880532
7.05606e-08,0.301337,0.455576,0.67454,0.455764,0.00310671,0.00792581,0.0122277,0.0145695,0.00878906,0.0933485
7.84006e-08,0.30476,0.457058,0.670509,0.457413,0.00310125,0.00783981,0.0121083,0.0145069,0.00952148,0.0971243
8.62407e-08,0.310126,0.459308,0.664424,0.45991,0.00310634,0.00780793,0.0118458,0.0143473,0.010498,0.101933
9.40808e-08,0.315979,0.461677,0.656816,0.462773,0.00311231,0.00773129,0.011641,0.0142706,0.0124512,0.110902
1.01921e-07,0.318375,0.462576,0.653951,0.463802,0.00315819,0.00776564,0.0115767,0.0142584,0.0129395,0.113027
1.09761e-07,0.324707,0.464996,0.647314,0.466159,0.00317414,0.00775844,0.0113771,0.0141636,0.0134277,0.115112
1.17601e-07,0.33083,0.467279,0.641191,0.468281,0.00315398,0.0076533,0.0111524,0.0140216,0.0136719,0.116139
1.25441e-07,0.333747,0.46831,0.637658,0.469463,0.00316662,0.00757392,0.0110237,0.0139299,0.0144043,0.119165
1.33281e-07,0.338857,0.470075,0.631466,0.471396,0.00318407,0.00756791,0.0108675,0.013885,0.015625,0.124035
1.41121e-07,0.343721,0.471695,0.626258,0.472984,0.00320277,0.00755992,0.0107053,0.0138181,0.0161133,0.125927
1.48961e-07,0.348368,0.473218,0.620543,0.474621,0.0031943,0.00751404,0.0105603,0.0137586,0.017334,0.130528
1.56801e-07,0.353224,0.474717,0.615575,0.476017,0.00322164,0.00747341,0.0104013,0.0136901,0.0175781,0.131428
1.64641e-07,0.355905,0.475533,0.612574,0.476909,0.00322567,0.00742534,0.010229,0.013576,0.0180664,0.133208
1.72481e-07,0.360044,0.476755,0.607515,0.478145,0.00323733,0.00738978,0.0101604,0.0135352,0.019043,0.136693
1.80321e-07,0.363184,0.477632,0.603714,0.479089,0.00327081,0.00742457,0.0100552,0.0134622,0.0197754,0.139245
1.88162e-07,0.366123,0.478473,0.59923,0.480194,0.00326191,0.00739785,0.00990101,0.0133975,0.0214844,0.14501
1.96002e-07,0.370741,0.47972,0.594263,0.481353,0.00328267,0.00740821,0.00974111,0.0132673,0.0219727,0.146612
2.03842e-07,0.373426,0.480435,0.590546,0.482255,0.00328307,0.00739373,0.00955173,0.0131065,0.0231934,0.150536
2.11682e-07,0.377539,0.481462,0.585501,0.483256,0.00332014,0.00740255,0.00946953,0.0130241,0.0241699,0.153595
2.19522e-07,0.37878,0.481795,0.583438,0.48375,0.00330052,0.0073568,0.0093358,0.012933,0.0251465,0.156589
2.27362e-07,0.381461,0.482458,0.580339,0.484349,0.00330466,0.0073323,0.00926013,0.0128689,0.0256348,0.158062
2.35202e-07,0.386068,0.483534,0.574148,0.485491,0.0033365,0.00737925,0.00910418,0.0127855,0.0273438,0.163103
2.43042e-07,0.39162,0.484746,0.567242,0.486669,0.00339935,0.00742325,0.00893015,0.0126983,0.0288086,0.167289
2.50882e-07,0.3943,0.48533,0.563425,0.48727,0.00340539,0.00735117,0.00884107,0.0126458,0.0300293,0.170689
2.58722e-07,0.396992,0.485915,0.559651,0.487878,0.00339907,0.00733839,0.00870878,0.0125588,0.03125,0.174014
2.66562e-07,0.398511,0.486288,0.557323,0.488267,0.00334398,0.00715162,0.00859544,0.0124256,0.0322266,0.176623
2.74402e-07,0.401433,0.486881,0.554005,0.488745,0.00335189,0.00713347,0.0084951,0.0123494,0.0327148,0.177911
2.82242e-07,0.403888,0.487384,0.550932,0.489174,0.00333832,0.00708679,0.00839403,0.0122759,0.0334473,0.179823
2.90082e-07,0.406303,0.487828,0.547815,0.489545,0.00336486,0.00711453,0.00833753,0.0122454,0.0341797,0.181713
2.97922e-07,0.408232,0.488171,0.544697,0.489896,0.00338861,0.00715908,0.00828114,0.0122271,0.0354004,0.184812
3.05762e-07,0.409461,0.488408,0.543339,0.490122,0.00338084,0.00711308,0.00817433,0.0121114,0.0356445,0.185425
3.13603e-07,0.413108,0.489055,0.539498,0.490511,0.00339568,0.00711579,0.00810916,0.0120598,0.0358887,0.186035
3.21443e-07,0.41461,0.489356,0.537131,0.490769,0.00335836,0.00703305,0.00803464,0.0120211,0.0368652,0.188454
3.29283e-07,0.418259,0.489965,0.531646,0.491282,0.00337157,0.00699458,0.00790445,0.0119244,0.0388184,0.193185
3.37123e-07,0.421627,0.490464,0.527561,0.491592,0.00342228,0.00700707,0.00783946,0.0118986,0.0395508,0.194925
3.44963e-07,0.426967,0.491256,0.522104,0.492024,0.00345319,0.00699496,0.00768067,0.0117907,0.0397949,0.195501
