0,0,0,0.000488281,0,0,0.000244141,0.000244141,0.0012207,0.000732422,0.0012207,0.00195312,0.00390625,0.00463867,0.00341797,0.00634766,0.00585938,0.00732422,0.0090332,0.00878906,0.00976562,0.0119629,0.00683594,0.0100098,0.00927734,0.0141602,0.012207,0.010498,0.0107422,0.0109863,0.0112305,0.0100098,0.00561523,0.00927734,0.00756836,0.0090332,0.00610352,0.00463867,0.00488281,0.00268555,0.00268555,0.00268555,0.0012207,0.00146484,0.000732422,0.000488281,0.000488281,0.000976562,0,0.000488281,0.000488281,0
0,0.000244141,0.000488281,0.000732422,0.000244141,0.00170898,0.00146484,0.00244141,0.00219727,0.00439453,0.00708008,0.0065918,0.00878906,0.0102539,0.0141602,0.0144043,0.0168457,0.0195312,0.0217285,0.0236816,0.0244141,0.0300293,0.0292969,0.0361328,0.0332031,0.0383301,0.0383301,0.0334473,0.034668,0.034668,0.0380859,0.0322266,0.0241699,0.0231934,0.0246582,0.0200195,0.0205078,0.0163574,0.0131836,0.0114746,0.0100098,0.0090332,0.00585938,0.00415039,0.00292969,0.00195312,0.00195312,0.00170898,0.000732422,0.000488281,0.000732422,0.000732422
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.84006e-09,0,0,0.000485335,0,0,0.000242478,0.000242437,0.00121193,0.000727043,0.00121151,0.00193813,0.0043603,0.00387551,0.00387527,0.00654284,0.00581259,0.00726582,0.00896339,0.00871987,0.00968957,0.011871,0.00678432,0.00993579,0.00945281,0.0143033,0.0113964,0.0113993,0.00994777,0.010677,0.0126215,0.00874029,0.00534276,0.00898954,0.0080189,0.00875054,0.00632191,0.00437783,0.00437924,0.00316354,0.00267773,0.00267832,0.00121773,0.0014617,0.000731023,0.000487447,0.000487543,0.000975334,0,0.000487787,0.000487888,0
7.84006e-09,0.000243515,0.00048684,0.000730074,0.000243326,0.00170257,0.00145892,0.0021877,0.00243006,0.00437282,0.00728585,0.00606988,0.00922343,0.0101916,0.014313,0.0133398,0.0167312,0.0198791,0.0210868,0.0232644,0.0256837,0.0276184,0.0300378,0.0356076,0.0331819,0.0375402,0.038024,0.033665,0.0339085,0.0351228,0.0373051,0.0319794,0.0244722,0.0227827,0.0244805,0.0191519,0.0208536,0.016735,0.0126152,0.0121327,0.00898084,0.00946875,0.00582886,0.00412991,0.00291597,0.00194463,0.00194516,0.00170259,0.000729886,0.00048669,0.000730339,0.000730458
7.84006e-09,0,0,2.94636e-06,0,0,1.66275e-06,1.70377e-06,8.77187e-06,5.37874e-06,9.18948e-06,1.49924e-05,3.42288e-05,3.07365e-05,3.09793e-05,4.89533e-05,4.6782e-05,5.83971e-05,6.98133e-05,6.91937e-05,7.60587e-05,9.18554e-05,5.16174e-05,7.39784e-05,6.8675e-05,0.000101046,7.81971e-05,7.53214e-05,6.19945e-05,6.51516e-05,7.38135e-05,4.87683e-05,2.83294e-05,4.36645e-05,3.77385e-05,3.85209e-05,2.57451e-05,1.66974e-05,1.52914e-05,1.02894e-05,7.82072e-06,7.22343e-06,2.9714e-06,3.14533e-06,1.39896e-06,8.34455e-07,7.38151e-07,1.22848e-06,0,4.93775e-07,3.93445e-07,0
7.84006e-09,6.25961e-07,1.44131e-06,2.34831e-06,8.14146e-07,6.41376e-06,5.92719e-06,9.56288e-06,1.13479e-05,2.1709e-05,3.83662e-05,3.36337e-05,5.39144e-05,6.23152e-05,9.1267e-05,8.79652e-05,0.000114492,0.000140481,0.000153414,0.000173137,0.00019516,0.000213665,0.000235619,0.000281033,0.000265395,0.000301637,0.000306053,0.0002705,0.000271191,0.000277549,0.000292575,0.000247185,0.000185995,0.00016649,0.00017768,0.000135183,0.000142506,0.000110743,8.01393e-05,7.43028e-05,5.23609e-05,5.27298e-05,3.05113e-05,2.04764e-05,1.37161e-05,8.49551e-06,7.96212e-06,6.39294e-06,2.53604e-06,1.59113e-06,2.08309e-06,1.96411e-06
7.84006e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000244141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.56801e-08,0,0,0.000485184,0,0,0.000241528,0.000241291,0.00120454,0.000481286,0.0012012,0.0016796,0.0045585,0.00359271,0.00406916,0.00646475,0.00550659,0.00814782,0.0093413,0.00838637,0.00959982,0.0127203,0.00697178,0.00962073,0.00987724,0.0149654,0.011596,0.0123436,0.00968962,0.0111582,0.0116562,0.00948182,0.00559667,0.00876599,0.00804093,0.00902043,0.00585343,0.00512294,0.00414786,0.00317206,0.00268403,0.00243992,0.00146383,0.00146365,0.000731747,0.00048779,0.000487757,0.00097546,0.000243864,0.000243865,0.000487759,0
1.56801e-08,0.000243982,0.000488008,0.000976017,0,0.00170771,0.00146339,0.00219425,0.00243683,0.00487105,0.0070566,0.00607797,0.00898516,0.0106724,0.0140493,0.0137903,0.0164308,0.0183344,0.0204723,0.0240587,0.0247421,0.0273561,0.0290063,0.0352063,0.0323124,0.0368611,0.036612,0.0330263,0.0337486,0.0344889,0.036207,0.0319123,0.0240254,0.0233367,0.023124,0.0195386,0.020293,0.0176611,0.0121135,0.0121269,0.00922863,0.00923766,0.00608403,0.00414022,0.0029242,0.00146285,0.00219498,0.00170772,0.000731977,0.000488007,0.000731999,0.000731972
1.56801e-08,0,0,3.09681e-06,0,0,2.61214e-06,2.84967e-06,1.61615e-05,6.9954e-06,1.95032e-05,2.93859e-05,8.01711e-05,6.94032e-05,8.12321e-05,0.000127051,0.00010864,0.000152961,0.00018018,0.00015855,0.000165806,0.00021916,0.000108301,0.000144892,0.000132527,0.000171341,0.000122732,0.000107529,7.60037e-05,7.22288e-05,6.25165e-05,3.96656e-05,1.85652e-05,2.30733e-05,1.57152e-05,1.27712e-05,5.94789e-06,4.01723e-06,2.52743e-06,1.77083e-06,1.52184e-06,1.48275e-06,1.01079e-06,1.19656e-06,6.74781e-07,4.90871e-07,5.23915e-07,1.10288e-06,2.76573e-07,2.75657e-07,5.22204e-07,0
